data,temperatura_media_c,umidade_relativa_pct,precipitacao_mm
2023-01-01,28.4,82,210.5
2023-02-01,28.9,80,185.3
2023-03-01,27.6,79,160.2
2023-04-01,25.1,76,98.7
2023-05-01,22.3,72,65.4
2023-06-01,20.1,68,42.1
2023-07-01,19.8,66,38.9
2023-08-01,20.5,67,45.2
2023-09-01,22.4,70,78.6
2023-10-01,24.7,74,112.3
2023-11-01,26.8,78,155.8
2023-12-01,28.1,81,198.4
2024-01-01,29.2,83,225.1
2024-02-01,29.7,81,202.6
2024-03-01,28.3,80,175.9
2024-04-01,25.8,77,105.3
2024-05-01,23.1,73,70.2
2024-06-01,20.9,69,48.7
2024-07-01,20.2,67,41.3
2024-08-01,21.0,68,50.1
2024-09-01,23.0,71,82.4
2024-10-01,25.3,75,118.7
2024-11-01,27.4,79,162.3
2024-12-01,28.8,82,205.7
